college,1-5,6-10,11-15,16-20,21-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60
Abilene Christian University,0,0,0,0,0,0,0,0,0,0,0,4
Acadia University,0,0,0,0,0,0,0,0,0,0,0,1
Adams State College,0,0,0,0,0,0,0,0,0,0,0,2
Adelphi University,0,0,0,0,0,0,0,0,0,0,0,1
Air Force,0,0,0,0,0,0,0,0,0,0,0,2
Alabama,3,2,4,5,7,1,2,3,5,3,2,9
Alabama A&M University,0,0,0,0,0,0,0,0,0,0,0,1
Alabama State University,0,0,0,1,0,1,1,1,0,1,1,9
Albany State University,0,0,0,1,0,0,1,0,0,0,0,6
Albright College,0,0,0,0,0,0,0,0,0,0,0,1
Alcorn State,0,0,0,1,1,0,0,1,1,0,0,9
Alderson-Broaddus College,0,0,0,0,0,0,0,0,0,0,0,2
Allan Hancock College,0,0,0,0,0,0,0,0,0,0,0,1
Alliance College,0,0,0,0,0,0,0,0,0,0,0,1
Alliant International University,0,0,0,0,0,0,0,0,0,0,0,2
American International College,0,0,0,0,0,0,0,0,0,0,0,2
American University,1,0,0,0,0,0,0,1,1,0,0,8
Angelo State University,0,0,0,0,0,0,0,0,0,0,0,1
Appalachian State University,0,0,0,0,0,0,0,0,0,0,0,5
Arizona,5,10,5,2,5,3,9,5,8,3,2,19
Arizona State,3,2,1,0,5,1,5,1,2,5,1,16
Arkansas,2,6,4,0,3,3,1,7,1,1,0,16
Arkansas State University,0,0,0,0,1,0,0,0,1,0,0,5
Arkansas Tech University,0,0,0,1,0,0,0,0,0,0,0,1
Armstrong Atlantic State University,0,0,0,0,0,0,0,0,0,0,0,3
Ashland University,0,0,0,0,0,0,0,0,0,0,0,5
Assumption College,0,0,0,0,0,0,0,0,0,0,0,3
Auburn,5,0,1,1,4,1,4,1,1,3,1,14
Auburn University at Montgomery,0,0,0,0,0,0,0,1,0,0,0,0
Augsburg College,0,0,0,0,1,0,0,0,0,0,0,2
Augusta State University,0,0,0,0,0,0,0,0,0,0,0,3
Augustana College (IL),0,0,0,0,0,0,0,0,0,0,0,2
Augustana College (SD),0,0,0,0,0,0,0,0,1,0,0,1
Aurora University,0,0,0,0,0,0,0,0,0,0,0,2
Austin Peay State University,0,0,0,0,0,1,2,0,0,0,0,6
Azusa Pacific University,0,0,0,0,0,0,0,0,0,0,0,3
BYU,2,3,2,2,2,2,2,1,1,2,0,21
Baldwin-Wallace College,0,0,0,0,0,0,0,0,0,0,0,4
Ball State University,0,0,1,0,0,0,0,0,0,0,0,3
Barber-Scotia College,0,0,0,0,0,0,0,0,0,0,0,1
Barton County Community College,0,0,1,0,0,0,0,0,0,0,0,0
Bates College,0,0,0,0,0,0,0,0,0,0,0,0
Bay College,0,0,0,0,0,0,0,0,0,0,0,1
Baylor,1,4,1,3,4,1,1,3,2,2,0,6
Belhaven College,0,0,0,0,0,0,0,1,0,0,0,0
Bellarmine University,0,0,0,0,0,0,0,0,0,0,0,2
Belmont,0,0,0,0,0,2,0,0,0,0,0,1
Belmont Abbey College,0,0,0,0,0,0,0,1,1,0,0,0
Beloit College,0,0,0,1,1,0,0,0,0,0,0,0
Benedict College,0,0,0,0,0,0,0,0,0,1,0,1
Benedictine College,0,0,0,0,1,0,0,0,0,1,0,1
Bentley College,0,0,0,0,0,0,0,0,1,0,0,2
Bethel College,0,0,0,0,0,0,0,0,1,0,0,0
Bethune-Cookman College,0,0,0,0,0,0,0,0,0,1,0,3
Biola University,0,0,0,0,0,0,0,0,0,0,0,1
Bishop College,0,0,0,0,0,0,0,0,0,0,0,2
Bloomfield College,0,0,0,0,0,0,0,0,0,0,0,2
Bloomsburg University of Pennsylvania,0,0,0,0,0,0,0,0,0,0,0,1
Boise State,0,0,0,0,1,0,0,0,0,0,2,5
Boston College,1,1,2,3,3,3,1,2,1,0,4,14
Boston State University,0,0,0,0,0,0,0,0,0,0,0,1
Boston University,0,0,0,0,0,0,0,0,2,2,1,7
Bowling Green,3,0,1,1,1,0,1,2,0,0,1,14
Bradley,1,2,4,0,3,0,0,4,5,2,3,17
Brandeis University,0,0,0,0,0,0,0,0,0,1,0,5
Briar Cliff University,0,0,0,0,0,0,0,0,0,0,0,4
Bridgewater State College,0,0,0,0,0,0,0,0,0,0,0,1
Brown University,0,0,0,0,0,0,0,0,0,0,0,3
Bucknell,0,0,0,0,0,0,0,1,1,0,0,1
Buffalo,0,0,0,0,0,0,0,0,0,0,0,1
Buffalo State,0,0,0,0,0,0,0,0,0,0,0,2
Butler,0,1,0,0,0,0,1,0,0,0,0,5
Butler County Community College,0,0,0,0,0,0,0,0,1,0,0,0
Cal Poly,0,0,0,0,0,0,0,0,0,0,0,1
Cal State Dominguez Hills,0,0,0,0,0,0,0,0,0,0,0,1
Cal State Fullerton,0,1,0,0,0,0,1,0,0,3,0,9
Cal State Long Beach,1,1,0,2,1,3,1,2,2,4,3,12
Cal State Northridge,0,0,0,0,0,0,0,0,0,0,0,2
Cal State-Bakersfield,0,0,0,0,0,0,0,1,0,0,0,0
California,4,3,1,1,3,1,3,0,6,3,2,22
California Institute of Technology,0,0,0,0,0,0,0,0,0,0,0,1
"California State University, Los Angeles",0,0,0,1,0,0,0,0,0,1,1,3
California University of Pennslyvania,0,0,0,0,0,0,0,0,0,0,0,2
Cameron University,0,0,0,0,0,0,0,0,0,0,0,3
Campbell,0,0,0,0,0,0,0,0,0,0,0,2
Canisius,0,0,0,1,2,1,1,1,0,1,0,11
Carson-Newman College,0,0,0,0,0,0,0,0,0,0,0,2
Carthage College,0,0,0,0,0,0,0,0,0,0,0,1
Case Western Reserve University,0,0,0,0,0,0,1,0,0,0,0,0
Catawba College,0,0,0,0,0,0,0,0,0,0,0,5
Centenary (LA),0,1,0,0,0,0,0,0,1,0,0,7
Central Connecticut State University,0,0,0,0,0,0,0,0,0,0,0,2
Central Florida,0,1,0,0,0,0,1,0,0,0,0,1
Central Michigan University,0,1,1,0,0,1,0,2,0,0,0,9
Central Missouri State University,0,0,0,0,1,0,0,0,0,0,0,1
Central State University,0,0,0,0,0,1,0,1,0,0,0,4
Central Washington University,0,0,0,0,0,0,0,0,0,0,0,5
Chaminade University of Honolulu,0,0,0,0,0,0,0,0,0,0,0,3
Chancellor University,0,0,0,0,0,0,0,0,0,0,0,1
Chapman University,0,0,0,0,0,0,0,0,0,0,0,1
Chattanooga,0,0,0,1,0,0,0,0,2,1,0,4
Cheyney (PA),0,0,0,0,0,0,0,1,0,2,0,7
Chicago State,0,0,0,0,0,0,0,0,0,0,0,4
Christian Brothers University,0,0,0,0,0,0,0,0,1,0,0,0
Christopher Newport University,0,0,0,0,0,0,0,0,1,0,0,0
Cincinnati,4,6,1,4,1,5,3,4,2,3,2,21
City College of New York,0,1,0,0,0,0,0,0,0,1,0,1
Clarion University of Pennsylvania,0,0,0,0,0,0,0,0,0,0,0,0
Clark Atlanta University,0,0,0,0,0,0,0,0,1,0,0,2
Clark University,0,0,0,0,0,0,0,0,0,0,0,2
Clemson,0,2,2,2,1,1,2,1,1,1,1,14
Cleveland State University,0,0,0,0,2,1,0,0,1,0,0,5
Coe College,0,0,0,0,0,0,0,0,0,0,0,1
Colby College,0,0,0,0,0,0,0,0,0,0,0,0
Colgate,0,1,1,0,0,0,0,0,0,1,0,4
College of Charleston,0,0,0,0,0,0,0,1,0,2,0,1
College of Idaho,0,0,0,0,0,0,0,0,0,0,0,2
College of Santa Fe,0,0,0,0,0,0,0,0,0,0,0,2
College of the Sequoias,0,0,0,0,0,0,0,0,0,1,0,0
Colorado,1,3,2,1,2,5,1,3,2,0,0,19
Colorado State,0,1,1,2,2,2,1,1,2,0,2,11
Columbia University,1,1,1,0,0,0,1,0,0,1,0,6
Columbus State University,0,0,0,0,0,0,0,0,0,0,0,2
Concord University,0,0,0,0,0,0,0,0,0,0,0,1
Concordia College,0,0,0,0,0,0,0,0,0,0,0,1
Concordia Seminary,0,0,0,0,0,0,0,0,0,0,0,2
Cooper Union,0,0,0,0,0,0,0,0,0,0,0,1
Coppin State University,0,0,0,0,0,0,1,0,0,0,0,1
Cornell,0,1,0,0,1,0,1,0,1,0,0,5
Cornell College,0,0,0,0,0,0,0,0,0,0,0,1
Creighton,1,1,3,1,1,2,3,1,0,1,2,15
Dakota Wesleyan University,0,0,0,0,0,0,0,0,0,0,0,2
Dallas Baptist University,0,0,0,0,0,0,0,0,0,0,0,1
Dartmouth College,0,0,1,0,0,0,1,0,0,0,0,3
Davenport University,0,0,0,0,0,0,0,0,0,0,0,2
Davidson,1,1,1,0,1,0,0,0,0,1,1,9
Davis & Elkins College,0,0,0,0,0,0,0,0,0,0,0,1
Dayton,1,2,2,5,3,1,5,2,0,0,2,19
DePaul,3,2,1,5,3,1,3,2,1,3,1,22
DePauw University,0,0,0,0,0,0,0,0,0,0,0,0
Delaware Valley College,0,0,0,0,0,0,0,0,0,0,0,1
Delta State University,0,0,0,0,0,0,0,0,0,0,0,2
Denver,0,0,1,0,0,0,0,0,0,0,1,9
Denver Junior College,0,0,0,0,0,0,0,0,0,0,0,0
Detroit Institute of Technology,0,0,0,0,0,0,0,0,0,0,0,2
Detroit Mercy,1,0,2,1,2,2,1,1,1,1,0,12
Dickinson College,0,0,0,0,0,0,0,0,0,0,0,0
Dickinson State University,0,0,0,0,0,0,0,0,0,0,0,1
Dillard University,0,0,0,0,0,0,0,0,0,0,0,7
Doane University,0,0,0,0,0,0,0,0,0,0,0,2
Drake University,0,0,1,1,1,1,0,2,1,0,4,16
Drexel,0,0,0,0,0,0,0,0,1,0,0,6
Drury University,0,0,0,0,0,0,0,0,0,0,0,4
Duke,21,11,10,8,8,6,10,6,5,4,2,24
Duquesne,2,0,2,0,2,0,3,0,0,1,1,19
East Carolina University,0,0,0,0,2,0,0,0,0,0,0,3
East Central University,0,0,0,0,0,0,0,0,0,0,1,0
East Oregon University,0,0,0,0,0,0,0,0,0,0,0,1
East Tennessee State University,0,0,0,0,0,1,1,0,0,0,1,5
Eastern Illinois University,0,0,0,0,0,0,1,0,1,0,0,3
Eastern Kentucky University,1,0,0,0,0,2,2,2,0,2,1,12
Eastern Michigan,0,0,1,0,0,0,1,2,0,1,2,8
Eastern New Mexico University,0,0,0,0,0,0,0,1,0,0,0,1
Eastern Washington,0,0,1,0,0,0,0,0,0,0,1,1
Eckerd College,0,0,0,0,0,0,0,0,0,0,0,1
Edinboro University of Pennsylvania,0,0,0,0,0,0,0,0,0,0,0,3
Elizabeth City State University,0,0,0,0,0,0,0,0,0,2,0,4
Elmhurst College,0,0,0,0,0,0,0,0,0,0,0,1
Elon University,0,0,0,1,0,0,0,0,0,0,0,1
Emporia State University,0,0,0,0,0,0,0,0,0,0,0,0
Erskine College,0,0,0,0,0,0,0,0,0,0,0,1
Fairfield,0,0,0,0,0,0,0,0,2,0,0,9
Fairleigh Dickinson University,0,0,1,0,0,0,0,0,0,0,0,2
Fairmont State University,0,0,0,0,0,0,0,0,0,0,0,2
Fayetteville State University,0,0,0,0,0,0,0,0,0,0,0,1
Ferris State University,0,0,0,0,0,0,0,0,0,0,0,3
Findlay (OH),0,0,0,0,0,0,0,0,0,0,0,0
Fisk University,0,0,0,0,0,0,0,0,0,0,0,1
Florida,4,3,0,3,2,2,1,3,3,3,3,13
Florida A&M,0,0,0,0,0,0,1,1,1,0,0,1
Florida International University,0,0,0,0,0,0,0,0,0,0,0,1
Florida Southern College,0,0,0,0,0,0,0,0,0,0,0,6
Florida State,3,2,3,3,3,3,2,4,4,2,1,21
Fordham,0,1,0,0,2,0,0,1,0,0,0,8
Fort Hays State University,0,0,0,0,0,0,0,0,0,0,0,2
Fort Valley State University,0,0,0,0,1,0,0,0,0,0,0,1
Framingham State College,0,0,0,0,0,0,0,0,0,0,0,1
Franciscan University of Steubenville,0,0,0,1,0,0,0,0,0,0,0,1
Franklin & Marshall College,0,0,0,0,0,0,0,0,0,0,0,2
Fresno State,0,1,2,2,0,2,2,2,1,1,1,7
Furman University,1,0,1,2,1,0,0,0,0,0,1,11
Gannon University,0,0,0,0,0,0,0,0,0,0,0,3
Gardner-Webb University,0,0,0,0,1,1,0,0,0,1,0,4
George Fox University,0,0,0,0,0,0,0,0,0,0,0,2
George Mason,0,0,0,0,0,0,0,0,0,0,1,1
George Washington,1,0,2,1,0,0,1,0,0,1,0,13
Georgetown,7,2,3,2,0,4,1,1,4,2,0,20
Georgetown College,0,0,0,0,0,0,0,0,0,0,1,4
Georgia,2,3,1,1,1,3,3,2,0,4,2,18
Georgia Southern University,0,0,0,1,0,0,0,0,1,0,0,4
Georgia State University,0,0,0,0,0,1,0,0,0,0,0,2
Georgia Tech,5,1,4,6,5,2,2,2,4,2,0,10
Gonzaga,3,2,4,1,1,3,1,1,0,1,3,10
Graceland University,0,0,0,0,0,0,0,0,0,0,0,1
Grambling State University,0,2,3,2,1,1,0,1,0,1,0,11
Grand Canyon University,0,0,0,1,0,0,0,0,0,0,2,5
Green Bay,0,0,0,0,0,0,1,0,0,1,1,2
Grove City College,0,0,0,0,0,0,0,0,0,0,0,1
Guilford College,1,0,0,0,1,0,0,0,0,0,0,5
Gustavus Adolphus,0,0,0,0,0,0,0,0,0,0,0,5
Hamilton College,0,0,0,0,0,0,0,0,0,0,0,1
Hamline University,0,1,1,0,1,0,0,0,0,0,0,3
Hampton,0,0,0,0,0,0,1,0,0,0,0,7
Hanover College,0,0,0,0,0,0,0,1,0,0,0,2
Hardin-Simmons University,0,0,0,0,0,0,0,0,1,0,1,5
Harding University,0,0,0,0,0,0,0,0,0,0,0,1
Hartwick College,0,0,0,0,0,0,0,0,0,0,0,1
Harvard University,1,1,0,0,0,0,0,0,0,0,0,8
Hastings College,0,0,0,0,0,0,0,0,0,0,0,2
Hawaii,0,2,0,0,0,0,0,1,1,0,1,9
Henderson State University,0,0,0,0,0,0,0,0,0,0,0,3
High Point University,0,0,0,0,0,0,0,0,0,1,0,5
Hillsdale College,0,0,0,0,0,0,0,0,0,0,0,2
Hiram College,0,0,0,0,0,0,0,0,0,0,0,1
Hiram Scott College,0,0,0,0,0,1,0,0,0,0,0,1
Hofstra,0,0,0,2,1,0,0,1,1,0,1,7
Holy Cross,3,1,0,1,1,0,2,1,0,0,1,15
Hope College,0,0,0,0,0,0,0,0,0,0,0,1
Houston,4,3,2,3,4,5,0,0,2,2,2,19
Houston Baptist University,0,0,0,0,0,0,0,0,0,0,3,4
Howard Payne University,0,0,0,0,0,0,0,0,0,0,0,2
Howard University,0,0,0,0,0,0,0,0,0,0,0,5
Humboldt State University,0,0,0,0,0,0,0,0,0,0,0,0
Huntington University,0,0,0,0,0,0,0,0,0,0,0,1
Huron University,0,0,0,0,0,0,0,0,0,0,0,1
Huston-Tillotson University,0,0,0,0,0,0,0,0,0,0,0,2
Hutchinson Community College,0,0,0,0,0,0,0,0,0,1,0,0
IUPUI,0,0,0,0,0,1,0,0,0,0,0,0
Idaho,0,0,2,0,0,0,0,0,0,1,1,8
Idaho State University,0,0,0,0,1,0,1,0,0,1,1,11
Illinois,2,3,7,5,5,6,2,5,3,2,0,28
Illinois State,1,0,0,0,0,0,1,1,0,0,1,14
Illinois Wesleyan University,0,1,0,0,0,0,0,0,0,0,0,1
Indian Hills Community College,0,0,0,0,0,0,0,0,0,0,3,0
Indiana,7,6,9,11,5,7,4,4,5,3,0,18
Indiana Institute of Technology,0,0,0,0,0,0,0,0,0,0,0,0
Indiana State University,0,1,0,0,1,0,0,0,1,0,0,5
Indiana University of Pennsylvania,0,0,0,0,0,0,0,0,0,0,0,1
Indiana Wesleyan University,0,0,0,0,0,0,0,0,0,0,0,1
Iona College,0,0,0,1,1,1,0,0,2,0,0,4
Iowa,1,4,1,3,3,1,3,3,4,3,5,24
Iowa State,2,0,3,2,2,1,2,1,3,5,7,13
Ithaca College,0,0,0,0,0,0,0,0,0,0,0,1
Jackson State University,1,2,0,0,1,1,0,2,1,0,2,13
Jacksonville State University,0,0,0,0,0,0,0,0,0,0,0,1
Jacksonville University,1,1,1,2,1,1,0,1,1,1,3,14
James Madison University,0,0,0,0,0,0,1,0,1,0,0,4
John A. Logan College,0,0,0,0,0,0,0,0,0,0,1,0
John Carroll University,0,0,0,0,0,0,1,0,0,1,0,1
Johns Hopkins University,0,0,0,0,0,0,0,0,0,0,0,1
Johnson C. Smith University,0,0,0,0,0,0,0,0,0,0,0,3
Kansas,8,8,10,4,2,9,8,2,7,6,2,23
Kansas State,4,2,2,3,2,2,2,1,5,2,1,23
Kansas Wesleyan,0,0,0,0,0,0,0,0,0,0,0,0
Kent State University,0,0,0,0,0,0,0,0,0,0,0,5
Kentucky,12,19,10,9,8,10,5,4,12,6,5,35
Kentucky State University,1,0,1,1,0,0,0,0,0,1,1,8
Kentucky Wesleyan College,0,0,1,0,0,1,0,1,0,0,2,6
Kenyon College,0,0,0,0,0,0,0,0,0,0,0,6
King's College,0,0,0,0,0,0,0,0,0,0,0,1
King's College (Pennsylvania),0,0,0,0,0,0,0,0,0,0,0,1
LIU Post,0,0,0,0,0,0,0,0,0,0,0,2
LIU Southampton,0,0,0,0,0,0,0,0,0,0,0,1
LSU,8,0,3,1,3,3,5,3,4,3,3,20
La Salle,3,3,1,1,1,0,1,1,0,1,2,20
Lafayette College,0,0,0,0,0,0,1,1,0,0,0,6
Lake Superior State University,0,0,0,0,0,0,0,0,0,0,0,1
Lakeland College,0,0,0,0,0,0,0,0,0,0,0,2
Lamar,0,0,0,0,1,0,1,0,0,0,0,8
Lambuth University,0,0,0,0,0,0,0,0,0,0,0,1
Lane College,0,0,0,0,0,0,0,0,0,0,0,1
Lawrence Technological University,0,0,0,1,0,0,0,0,0,0,0,0
Lawrence University,0,0,0,0,0,0,0,0,0,0,0,1
LeMoyne College,0,0,1,0,0,1,0,0,0,0,0,5
LeMoyne-Owen College,0,0,0,0,0,0,0,0,0,0,0,3
Lebanon Valley College,0,0,0,0,0,0,0,0,0,0,0,0
Lehigh,0,1,0,0,0,0,0,0,0,0,0,0
Lenoir-Rhyne College,0,0,0,0,0,1,0,0,0,0,0,2
Lewis (IL),0,0,0,0,0,0,0,0,0,0,0,4
Lewis and Clark College,0,0,0,0,0,0,0,0,0,0,0,2
Liberty,0,0,0,0,0,0,0,0,0,0,1,2
Lincoln University (PA),0,0,0,0,0,0,0,0,0,0,0,1
Lincoln University of Missouri,0,0,0,0,0,0,0,0,0,0,0,4
Linfield College,0,0,0,0,0,0,0,0,0,0,0,4
Lipscomb,0,0,0,0,0,0,0,0,0,0,0,2
Little Rock,0,0,0,0,1,0,0,0,0,0,0,3
Long Island University,2,0,1,1,0,0,0,1,1,1,0,6
Longwood University,0,0,0,0,0,0,0,0,0,1,0,0
Loras College,0,0,0,0,0,0,0,0,0,0,0,1
Louisiana,0,2,0,1,0,0,0,0,1,1,1,12
Louisiana College,0,0,0,0,0,0,0,0,0,0,0,2
Louisiana Tech,2,1,1,0,0,1,0,1,0,2,1,5
Louisiana-Monroe,0,1,0,0,0,1,1,0,0,0,0,6
Louisville,5,8,6,9,5,1,4,4,3,2,3,21
Loyola (MD),0,0,0,0,0,1,0,0,0,0,1,5
Loyola Chicago,1,1,2,1,1,0,1,1,0,0,1,14
Loyola Marymount,0,1,0,0,0,1,0,0,1,1,0,9
Loyola New Orleans,0,0,0,0,0,0,0,0,0,0,1,3
Lycoming College,0,0,0,0,0,0,0,0,0,0,0,1
Macalester College,0,0,0,0,0,0,0,0,0,0,0,2
Malone College,0,0,0,0,0,0,0,0,0,0,0,1
Manchester University,0,0,0,0,0,0,0,0,0,0,0,1
Manhattan University,0,0,0,1,2,0,1,0,0,0,3,14
Marietta College,0,0,0,0,0,0,0,0,0,0,0,1
Marist College,1,0,0,0,0,0,0,0,1,0,0,0
Marquette,1,1,3,3,3,3,7,6,1,4,4,24
Marshall,1,1,1,2,1,0,2,1,0,0,1,11
Maryland,7,6,4,3,2,3,5,7,4,2,3,24
Marymount College,0,0,0,0,0,0,0,0,0,0,0,1
McDaniel College,0,0,0,0,0,0,0,0,0,0,0,0
McKendree College,0,0,0,0,0,0,0,0,0,0,0,2
McMurry University,0,0,0,0,0,0,0,0,0,0,0,1
McNeese State University,0,0,0,1,0,0,3,0,1,1,0,3
Memphis,6,3,2,4,2,0,4,5,3,3,1,22
Mercer University,0,0,0,0,0,0,0,0,0,0,1,6
Mercyhurst College,0,0,0,0,0,0,0,0,0,0,0,1
Merrimack College,0,0,0,0,0,0,0,0,0,1,0,3
Miami (FL),1,0,0,2,3,1,1,2,1,3,4,8
Miami University,0,2,0,0,1,1,1,0,1,0,1,8
Michigan,6,8,8,5,5,3,5,2,8,2,4,22
Michigan State,5,2,7,4,6,3,5,1,2,5,5,21
Middle Tennessee,0,0,0,0,0,0,0,1,0,0,0,10
Midwestern State University,0,0,0,0,0,0,0,0,0,1,1,4
Miles College,0,0,0,0,0,0,0,0,0,0,0,1
Millersville,0,0,0,0,0,0,0,1,0,0,0,2
Milligan College,0,0,0,0,0,0,0,0,0,0,0,1
Millikin University,0,0,1,0,0,0,0,0,0,0,0,1
Minnesota,4,8,3,2,4,2,1,1,1,3,2,22
"Minnesota State University, Mankato",0,0,0,0,0,0,0,0,0,0,0,1
Mississippi College,0,0,0,0,0,0,0,0,1,0,0,0
Mississippi State,1,2,3,1,1,1,2,3,3,1,1,7
Mississippi Valley State University,0,0,0,0,0,0,1,1,0,1,0,2
Missouri,1,4,3,5,1,5,2,1,1,3,3,21
Missouri Southern State,0,0,0,0,0,0,0,0,0,0,0,2
Missouri State,0,0,0,0,0,1,1,1,0,1,1,4
Missouri Valley College,0,0,0,0,0,0,0,0,0,0,0,0
Missouri Western State College,0,0,0,0,0,0,0,0,0,0,0,2
Missouri-Kansas City,0,0,0,1,0,0,0,0,0,0,0,0
Missouri-St. Louis,0,0,0,0,0,0,0,0,0,0,0,2
Monmouth University,0,0,0,0,0,0,0,0,0,0,0,4
Montana,1,0,0,0,0,1,0,0,0,0,0,6
Montana State,0,0,0,0,0,0,0,0,0,0,0,10
"Montana State University, Billings",0,0,0,0,0,0,0,0,0,0,0,5
Montana-Western,0,0,0,0,0,0,0,0,0,0,0,2
Moravian College,0,0,0,0,0,0,0,0,0,0,0,1
Morehead State University,0,1,1,0,1,1,2,0,0,3,1,9
Morehouse College,0,0,0,0,0,0,0,0,0,0,0,1
Morgan State University,1,0,0,0,0,0,0,0,0,0,0,2
Morningside College,0,0,0,0,0,0,0,0,0,0,0,2
Morris Brown College,0,0,0,0,0,0,0,0,0,0,0,2
Mount St. Mary's University,0,0,1,0,0,0,0,0,1,0,0,3
Muhlenberg College,0,0,0,0,0,0,0,0,0,0,0,0
