team,sum_salary,today,year
Golden State,178980766,206963957,2021
Brooklyn,174811922,202143321,2021
LA Clippers,168378382,194703915,2021
LA Lakers,164409293,190114264,2021
Milwaukee,160875421,186027881,2021
Utah,149760719,173175425,2021
Philadelphia,148922969,172206695,2021
Miami,140840240,162860249,2021
Indiana,138181486,159785807,2021
Denver,137963926,159534234,2021
Minnesota,137432702,158919956,2021
Boston,136557646,157908082,2021
Phoenix,136476474,157814221,2021
Cleveland,136385911,157709500,2021
Chicago,136083814,157360165,2021
New Orleans,135793968,157025005,2021
Atlanta,135166020,156298879,2021
Toronto,134896484,155987201,2021
Houston,132267085,152946704,2021
Detroit,131120355,151620682,2021
Sacramento,130457848,150854598,2021
Washington,128019790,148035352,2021
San Antonio,127655401,147613994,2021
Orlando,126786646,146609408,2021
Dallas,126696965,146505707,2021
Portland,124788473,144298828,2021
Charlotte,122139566,141235777,2021
New York,120644081,139506473,2021
Memphis,117284457,135621576,2021
Oklahoma City,82022873,94846931,2021
LA Lakers,88264478,122852404,2011
Orlando,87955505,122422356,2011
Portland,80920717,112630867,2011
Phoenix,80640576,112240948,2011
Boston,79820530,111099553,2011
Dallas,77180233,107424610,2011
New York,77093212,107303490,2011
Miami,75469639,105043691,2011
San Antonio,73732762,102626190,2011
Atlanta,73669912,102538712,2011
Detroit,70923605,98716216,2011
Memphis,70628007,98304784,2011
Chicago,69548447,96802179,2011
LA Clippers,67333389,93719111,2011
Philadelphia,66672368,92799060,2011
New Orleans,65441008,91085170,2011
Brooklyn,65281235,90862784,2011
Cleveland,64875599,90298196,2011
Golden State,61576901,85706846,2011
Milwaukee,60192388,83779789,2011
Oklahoma City,59501709,82818457,2011
Denver,58553173,81498221,2011
Utah,58178016,80976053,2011
Charlotte,57902024,80591909,2011
Houston,57021755,79366691,2011
Minnesota,56844339,79119753,2011
Washington,55386345,77090417,2011
Toronto,55063049,76640434,2011
Indiana,51554083,71756418,2011
Sacramento,48950236,68132210,2011
LA Lakers,100131988,137089243,2012
Brooklyn,87644649,119993008,2012
Miami,80427933,110112709,2012
New York,79977119,109495505,2012
Boston,75508399,103377445,2012
Chicago,74491280,101984922,2012
Golden State,70036985,95886612,2012
San Antonio,69838600,95615008,2012
Dallas,69766571,95516384,2012
LA Clippers,69152721,94675978,2012
Oklahoma City,68924100,94362978,2012
Detroit,68807497,94203339,2012
Atlanta,66710178,91331928,2012
Philadelphia,66697839,91315035,2012
Orlando,66557496,91122895,2012
Indiana,66107195,90506393,2012
Utah,65657569,89890814,2012
Minnesota,64329748,88072913,2012
New Orleans,64134537,87805656,2012
Toronto,63708138,87221879,2012
Denver,63444254,86860600,2012
Memphis,63054115,86326467,2012
Milwaukee,62410041,85444675,2012
Washington,59715539,81755667,2012
Portland,59442596,81381987,2012
Charlotte,58122566,79574756,2012
Cleveland,54472190,74577074,2012
Sacramento,54421935,74508274,2012
Phoenix,54196264,74199312,2012
Houston,48048265,65782172,2012
Portland,105595657,184410864,2002
New York,93452379,163203998,2002
Dallas,72940316,127382002,2002
Sacramento,70416596,122974612,2002
Philadelphia,64822487,113205131,2002
LA Lakers,63151182,110286387,2002
Memphis,61009172,106545607,2002
Brooklyn,60412919,105504321,2002
Minnesota,59518801,103942847,2002
Milwaukee,57995152,101281964,2002
Miami,57378326,100204748,2002
Atlanta,55711549,97293910,2002
Toronto,55408207,96764156,2002
Phoenix,55225080,96444346,2002
Indiana,53472323,93383357,2002
San Antonio,53182559,92877317,2002
Oklahoma City,53167479,92850981,2002
Boston,52548195,91769470,2002
Utah,50934629,88951559,2002
Orlando,50435346,88079618,2002
Houston,50181239,87635848,2002
Cleveland,49610448,86639028,2002
Denver,49109209,85763667,2002
Detroit,47777888,83438667,2002
Golden State,47737715,83368514,2002
Washington,46691190,81540872,2002
Chicago,44531095,77768511,2002
New Orleans,44458882,77642401,2002
LA Clippers,42955777,75017395,2002
New York,96643646,138761126,2008
Dallas,95045559,136466588,2008
Cleveland,91298233,131086171,2008
Portland,80260059,115237541,2008
Boston,79188973,113699674,2008
LA Lakers,78245793,112345455,2008
Phoenix,76130408,109308179,2008
Toronto,73446970,105455296,2008
Houston,73302272,105247535,2008
Detroit,71434174,102565318,2008
Milwaukee,71360656,102459760,2008
Washington,70743317,101573383,2008
Miami,70297059,100932646,2008
Denver,70121003,100679866,2008
Orlando,69672979,100036590,2008
Indiana,69668818,100030616,2008
Sacramento,69204512,99363963,2008
Oklahoma City,68341605,98125000,2008
Philadelphia,68301007,98066709,2008
Atlanta,68168841,97876948,2008
Chicago,68126774,97816546,2008
San Antonio,68020487,97663939,2008
New Orleans,67530808,96960857,2008
Golden State,67416431,96796633,2008
Minnesota,66445144,95402059,2008
Utah,65841407,94535211,2008
Charlotte,62866926,90264446,2008
LA Clippers,62764206,90116959,2008
Brooklyn,62666523,89976708,2008
Memphis,55958148,80344805,2008
LA Lakers,42068300,89302750,1994
Orlando,29069916,61709723,1994
Cleveland,28106000,59663522,1994
Portland,26658000,56589703,1994
New York,25748900,54659859,1994
Indiana,24918500,52897086,1994
Boston,24462000,51928026,1994
Oklahoma City,24073500,51103317,1994
Phoenix,23170884,49187242,1994
Brooklyn,23121800,49083045,1994
San Antonio,22721982,48234307,1994
Chicago,22053129,46814464,1994
Denver,21940500,46575374,1994
Atlanta,21869340,46424317,1994
Sacramento,20209000,42899739,1994
Miami,20142000,42757514,1994
Golden State,19797300,42025780,1994
Philadelphia,19709510,41839419,1994
Charlotte,19346658,41069158,1994
Utah,18708950,39715429,1994
Dallas,18053100,38323187,1994
LA Clippers,17876700,37948725,1994
Minnesota,17673260,37516858,1994
Houston,17578600,37315916,1994
Washington,17049750,36193269,1994
Detroit,16339300,34685126,1994
Milwaukee,16256960,34510334,1994
LA Lakers,91378064,133099830,2009
Dallas,88916075,129513735,2009
New York,85710076,124843928,2009
Boston,83552174,121700763,2009
Cleveland,83398534,121476973,2009
Orlando,82200916,119732542,2009
San Antonio,79338309,115562913,2009
Denver,74935538,109149909,2009
Miami,74208013,108090206,2009
Washington,73440274,106971929,2009
Utah,71905244,104736033,2009
New Orleans,70163827,102199509,2009
Chicago,69700359,101524429,2009
Houston,69095315,100643130,2009
Charlotte,68681758,100040750,2009
Toronto,67822433,98789072,2009
Sacramento,67515718,98342313,2009
Milwaukee,66775602,97264272,2009
Indiana,66733257,97202595,2009
Atlanta,65883642,95965060,2009
Golden State,65352372,95191218,2009
Phoenix,65288544,95098250,2009
Philadelphia,64883448,94508194,2009
Minnesota,62253360,90677248,2009
LA Clippers,61616409,89749472,2009
Detroit,60185833,87665722,2009
Brooklyn,59366715,86472605,2009
Oklahoma City,58578614,85324671,2009
Memphis,57287474,83444016,2009
Portland,56946258,82947009,2009
New York,43329000,89264835,1995
Orlando,36526560,75250690,1995
Phoenix,36525000,75247479,1995
LA Lakers,30073000,61955300,1995
Cleveland,27695000,57056231,1995
San Antonio,26553000,54703527,1995
Oklahoma City,25852000,53259349,1995
Houston,25632000,52806112,1995
Philadelphia,25133000,51778088,1995
Denver,24553000,50583197,1995
Sacramento,24391000,50249452,1995
Detroit,23970000,49382121,1995
Portland,23926000,49291472,1995
Indiana,23909000,49256450,1995
Chicago,23512000,48438566,1995
Charlotte,23084000,47556817,1995
Milwaukee,23011000,47406427,1995
Golden State,22877000,47130364,1995
Minnesota,22642000,46646222,1995
Brooklyn,22580000,46518493,1995
Utah,22451000,46252732,1995
Atlanta,22227000,45791255,1995
Washington,22224000,45785075,1995
Miami,22087000,45502833,1995
Dallas,21753000,44814740,1995
LA Clippers,21165000,43603362,1995
Boston,20219000,41654445,1995
Memphis,18413000,37933785,1995
Toronto,17955000,36990233,1995
New York,117350866,181708756,2006
Dallas,88531846,137084724,2006
LA Lakers,77099949,119383317,2006
Portland,75026386,116172564,2006
Philadelphia,69140163,107058200,2006
Minnesota,66820673,103466650,2006
Phoenix,65841120,101949887,2006
San Antonio,65654320,101660643,2006
Denver,65517776,101449214,2006
Golden State,65012368,100666627,2006
Brooklyn,64486110,99851759,2006
Miami,64416312,99743680,2006
Sacramento,64296611,99558332,2006
Houston,63837566,98847540,2006
Milwaukee,63498518,98322546,2006
Indiana,63118965,97734838,2006
Cleveland,62992729,97539374,2006
Boston,62981479,97521952,2006
Washington,62733705,97138293,2006
Utah,62364364,96566397,2006
Memphis,61960489,95941029,2006
Orlando,61447108,95146097,2006
LA Clippers,59181038,91637263,2006
Detroit,59010951,91373899,2006
Oklahoma City,56986831,88239703,2006
Chicago,54754904,84783736,2006
New Orleans,53748991,83226157,2006
Toronto,51015491,78993543,2006
Atlanta,48581972,75225427,2006
Charlotte,41964046,64978079,2006
Chicago,58270000,116828182,1996
Orlando,40149100,80496763,1996
Indiana,39480000,79155250,1996
Phoenix,36140000,72458732,1996
Washington,34940000,70052801,1996
Golden State,31087000,62327742,1996
San Antonio,30785500,61723251,1996
Oklahoma City,30301500,60752857,1996
LA Lakers,28838500,57819622,1996
Sacramento,27820200,55777984,1996
Detroit,26848500,53829781,1996
Houston,26275000,52679947,1996
Dallas,26107500,52344116,1996
New York,25923500,51975204,1996
Boston,25853500,51834859,1996
Atlanta,25806100,51739826,1996
Brooklyn,25426600,50978945,1996
Utah,25267000,50658959,1996
Portland,24903500,49930161,1996
Milwaukee,24222500,48564794,1996
Minnesota,24100500,48320189,1996
Philadelphia,23669500,47456058,1996
LA Clippers,23336500,46788411,1996
Miami,22421000,44952883,1996
Denver,21243300,42591657,1996
Charlotte,20975500,42054734,1996
Cleveland,18867500,37828308,1996
Toronto,18633900,37359951,1996
Memphis,15978000,32035019,1996
Portland,87395140,159265467,2000
New York,74007738,134868788,2000
Miami,73472329,133893083,2000
Brooklyn,68977578,125702023,2000
Washington,59085969,107675943,2000
LA Lakers,58968213,107461347,2000
Milwaukee,57819318,105367649,2000
San Antonio,57215938,104268072,2000
Indiana,55086140,100386811,2000
Phoenix,53906347,98236801,2000
Utah,53893860,98214049,2000
Dallas,52274842,95263612,2000
Denver,52189220,95107581,2000
Oklahoma City,51538658,93922022,2000
Boston,51478707,93812764,2000
Philadelphia,51085458,93096125,2000
Cleveland,49780549,90718111,2000
Houston,49283309,89811961,2000
Memphis,48899840,89113143,2000
Minnesota,47488500,86541172,2000
Charlotte,46441558,84633265,2000
Sacramento,46266289,84313862,2000
Golden State,42363018,77200694,2000
Detroit,40475338,73760660,2000
Atlanta,39297129,71613539,2000
Toronto,38313749,69821464,2000
Orlando,37459860,68265371,2000
Chicago,29691907,54109356,2000
LA Clippers,29606189,53953147,2000
LA Clippers,192905421,204535294,2022
Golden State,192386134,203984702,2022
Milwaukee,182930771,193959293,2022
Boston,178633307,189402747,2022
Dallas,177244238,187929929,2022
Phoenix,176042453,186655694,2022
LA Lakers,169391473,179603738,2022
Denver,162338665,172125732,2022
Brooklyn,159566723,169186672,2022
Washington,152008934,161173239,2022
Cleveland,151966241,161127975,2022
Chicago,151964990,161126647,2022
Miami,151408266,160536360,2022
Toronto,150992313,160095330,2022
Philadelphia,150496913,159570063,2022
Atlanta,149836313,158869639,2022
New York,148987936,157970114,2022
Oklahoma City,148856338,157830582,2022
Utah,148738241,157705365,2022
New Orleans,148360910,157305287,2022
Minnesota,145793656,154583256,2022
Portland,144997250,153738833,2022
Sacramento,139423615,147829176,2022
Houston,137579793,145874191,2022
Detroit,129153570,136939969,2022
Memphis,127139520,134804500,2022
Orlando,126107324,133710077,2022
Charlotte,125874047,133462735,2022
Indiana,125706114,133284674,2022
San Antonio,104545376,110848194,2022
LA Lakers,91428140,131784621,2010
Orlando,90770804,130837132,2010
Dallas,85409890,123109908,2010
Boston,82045867,118261000,2010
Utah,75855296,109337903,2010
Portland,74584058,107505539,2010
Houston,72315654,104235859,2010
Atlanta,71469843,103016707,2010
Memphis,70241344,101245942,2010
Toronto,69992648,100887473,2010
San Antonio,69522311,100209529,2010
Milwaukee,69076690,99567212,2010
Philadelphia,68915246,99334506,2010
Golden State,68415336,98613937,2010
New Orleans,68230729,98347842,2010
Denver,68019290,98043075,2010
New York,67016562,96597741,2010
Charlotte,66542696,95914708,2010
Miami,66205855,95429186,2010
Phoenix,65979054,95102276,2010
Detroit,65517821,94437456,2010
Indiana,65088630,93818815,2010
Brooklyn,58495989,84316177,2010
Washington,58324988,84069696,2010
Oklahoma City,55922488,80606733,2010
Chicago,54538076,78611238,2010
Cleveland,53990021,77821270,2010
Minnesota,53461123,77058915,2010
LA Clippers,53225329,76719041,2010
Sacramento,45268465,65250009,2010
Boston,25343000,58545115,1991
Cleveland,16882000,38999274,1991
Chicago,16829000,38876839,1991
LA Lakers,15673000,36206354,1991
Detroit,15428000,35640373,1991
Indiana,15090000,34859557,1991
Philadelphia,14058000,32475521,1991
Phoenix,13593000,31401323,1991
Oklahoma City,13308000,30742942,1991
Houston,13274000,30664396,1991
Dallas,13004000,30040669,1991
LA Clippers,12976000,29975982,1991
Atlanta,12930000,29869719,1991
Utah,12761000,29479311,1991
Portland,12742000,29435418,1991
Washington,12633000,29183615,1991
Charlotte,12625000,29165137,1991
Brooklyn,12598000,29102763,1991
Golden State,12500000,28876372,1991
Sacramento,12492000,28857891,1991
Milwaukee,12451000,28763176,1991
New York,12399000,28643051,1991
Orlando,12250000,28298844,1991
Denver,11879000,27441792,1991
San Antonio,11587000,26767243,1991
Miami,11514000,26598603,1991
Minnesota,10763000,24863710,1991
Brooklyn,102589967,138032757,2013
New York,89072787,119845658,2013
Miami,80841617,108770784,2013
LA Lakers,77423614,104171929,2013
Dallas,75012158,100927363,2013
Chicago,73336893,98673324,2013
LA Clippers,73049774,98287014,2013
Golden State,72503122,97551504,2013
Memphis,71992885,96864987,2013
Oklahoma City,71653401,96408221,2013
Toronto,71561643,96284761,2013
Boston,70885503,95375029,2013
Minnesota,68564040,92251548,2013
New Orleans,67358651,90629716,2013
Indiana,67182414,90392597,2013
Cleveland,66654061,89681710,2013
Denver,65782065,88508456,2013
Washington,64698822,87050973,2013
San Antonio,63115911,84921200,2013
Detroit,62387432,83941045,2013
Portland,61260350,82424578,2013
Charlotte,60395651,81261143,2013
Sacramento,59174155,79617644,2013
Atlanta,58998677,79381541,2013
Houston,57823063,77799775,2013
Orlando,56948031,76622437,2013
Utah,56911999,76573958,2013
Phoenix,55569468,74767608,2013
Milwaukee,54400846,73195250,2013
Philadelphia,51741312,69616898,2013
New York,102567539,169869031,2004
Dallas,91908443,152215779,2004
Portland,83671309,138573706,2004
Philadelphia,71951878,119164363,2004
Minnesota,70123411,116136117,2004
Memphis,67010830,110981159,2004
Orlando,66445249,110044463,2004
Indiana,66064780,109414339,2004
LA Lakers,65059098,107748764,2004
Boston,64577356,106950918,2004
Sacramento,61807688,102363887,2004
Toronto,61703775,102191785,2004
Houston,60284303,99840903,2004
Miami,59523529,98580937,2004
Milwaukee,57448246,95143914,2004
Chicago,57276129,94858859,2004
New Orleans,56572882,93694167,2004
Brooklyn,54983980,91062680,2004
Golden State,54943723,90996010,2004
Detroit,54762481,90695840,2004
Oklahoma City,53821301,89137089,2004
Washington,49797050,82472254,2004
Cleveland,49175274,81442491,2004
San Antonio,47504123,78674784,2004
Denver,46101759,76352236,2004
LA Clippers,45483265,75327905,2004
Phoenix,44598682,73862884,2004
Utah,43515760,72069385,2004
Atlanta,41059616,68001599,2004
Charlotte,23922578,39619793,2004
New York,126631098,204546649,2005
Dallas,98454832,159033650,2005
Philadelphia,84807300,136988851,2005
Indiana,78791779,127272009,2005
Orlando,75784782,122414821,2005
LA Lakers,72917945,117784029,2005
Houston,69257404,111871172,2005
Memphis,67525538,109073698,2005
Brooklyn,66449350,107335339,2005
